Id,Name,Description
1,Smartphone,Advanced mobile device with high-resolution camera and facial recognition.
2,Coffee Maker,Brew your favorite coffee with this sleek and efficient machine.
3,Running Shoes,Comfortable and durable shoes for your daily jog or workout.
4,Laptop Bag,Stylish and functional bag with multiple compartments for your laptop and accessories.
5,Wireless Headphones,Enjoy immersive audio without the hassle of wires.
6,Blender,Powerful blender for making smoothies shakes and more.
7,Yoga Mat,Non-slip and cushioned mat for your yoga and fitness sessions.
8,Smart Watch,Stay connected and track your fitness with this feature-packed smartwatch.
9,Backpack,Spacious and durable backpack for everyday use or travel.
10,Digital Camera,Capture high-quality photos and videos with this professional camera.
11,Electric Toothbrush,Keep your teeth clean and healthy with this advanced toothbrush.
12,E-book Reader,Lightweight and portable device for reading your favorite books on the go.
13,Espresso Machine,Brew your favorite espresso at home with this sleek and compact machine.
14,Portable Charger,Charge your devices on the go with this high-capacity portable charger.
15,Desk Organizer,Keep your workspace tidy and organized with this stylish desk organizer.
16,Gaming Mouse,Enhance your gaming experience with a high-performance gaming mouse.
17,Travel Pillow,Comfortable neck support for a relaxing journey during travel.
18,Resistance Bands,Versatile fitness equipment for strength training and flexibility exercises.
19,Smart Thermostat,Control your home's temperature remotely with this smart thermostat.
20,Graphic T-shirt,Express yourself with a trendy and unique graphic T-shirt.
21,Wireless Mouse,Simplify your workspace with a wireless mouse for easy navigation.
22,Tea Infuser,Enjoy a cup of freshly brewed tea with this convenient tea infuser.
23,Bluetooth Earbuds,Wireless earbuds with Bluetooth connectivity for a seamless audio experience.
24,Portable Blender,Blend smoothies and shakes anywhere with this portable blender.
25,Running Belt,Secure and convenient belt for carrying essentials during your run.
26,Wireless Keyboard,Upgrade your typing experience with a wireless keyboard.
27,Resistance Bands Set,Variety of resistance bands for a full-body workout at home or on the go.
28,Water Bottle,Stay hydrated with a durable and leak-proof water bottle.
29,Smart Home Camera,Monitor your home remotely with this smart home security camera.
30,Meal Prep Containers,Organize and store your meals with these convenient meal prep containers.
31,Fitness Tracker,Track your fitness progress and set goals with a reliable fitness tracker.
